1 day ago	1 dia atrás	
1 hour ago	1 hora atrás	
1 minute ago	1 minuto atrás	
1 second ago	1 segundo atrás	
Abbreviation	Abreviação	
Abilities	Habilidades	
Ability	Habilidade	
Ability Name	Nome da habilidade	
Aborting ...	Abortando...	
About	Sobre	
Above Bottom	Acima da parte inferior	
Above Top	Acima da parte superior	
Absolute path to context	Caminho relativo para o contexto	
Abstract Schema Name	Nome de esquema abstrato	
Accept	Aceitar	
Accept  Next	Aceitar próximo	
Accept Button	Botão Aceitar	
Access	Acesso	
Access Method	Método de acesso	
Access Modifier	Modificador de acesso	
Accessed resource	Recurso acessado	
Accessibility	Acessibilidade	
Accessible Description	Descrição acessível	
Accessible Name	Nome acessível	
Accessible Parent	Pai acessível	
Accessors' Visibility	Visibilidade dos métodos	
Acknowledge Mode	Modo de confirmação	
Action	Ação	
Action Class	Classe da ação	
Action Display Name	Nome de exibição da ação	
Action in Progress	Ação em progresso	
Action Instances	Instâncias de ação	
Action on Step Into	Ação em Passar dentro	
Action Path	Caminho da ação	
Action Servlet Name	Nome da ação do servlet	
Action Type	Tipo de ação	
Action URL Pattern	Padrão do URL da ação	
ActionForm Bean Class	Classe Bean de ActionForm	
ActionForm Bean Name	Nome Bean de ActionForm	
ActionForm Bean Parameter	Parâmetro Bean de ActionForm	
ActionForm Bean Property	Propriedade Bean de ActionForm	
Actions APIs	APIs de ações	
Actions List	Lista de ações	
Actions Pool	Pool de ações	
Actions Pool Scrollbar	Barra de rolagem do pool de ações	
Activate	Ativar	
Activate All Modules	Ativar todos os módulos	
Activate Filter	Ativar filtro	
Activating browser...	Ativando navegador...	
Activation Config Description	Descrição da configuração de ativação	
Activation Config Property	Propriedade da configuração de ativação	
Activation Config Property Name	Nome da propriedade da configuração de ativação	
Activation Config Property Value	Valor da propriedade da configuração de ativação	
Active	Ativo	
Active Caption	Legenda ativa	
Active Caption Border	Borda da legenda ativa	
Active Caption Text	Texto da legenda ativa	
Active Categories	Categorias ativas	
Active user	Usuário ativo	
Actual project name	Nome atual do projeto	
Adaptor class	Classe do adaptador	
Add	Adicionar	
Add {@link} tag	Adicionar marcação {@link}	
Add Ability	Adicionar habilidade	
Add Action	Adicionar ação	
Add ActionForm Bean	Adicionar bean ActionForm	
Add ActionForm Bean Property	Adicionar propriedade do bean ActionForm	
Add additional Properties	Adicionar propriedades adicionais	
Add All	Adicionar todos	
Add As Binary	Adicionar como binário	
Add As Text	Adicionar como texto	
Add as Version	Adicionar como versão	
Add Attribute	Adicionar atributo	
Add Business Method	Adicionar método de negócio	
Add Cache Mapping	Adicionar mapeamento de cache	
Add Catalog	Adicionar catálogo	
Add CMP Field	Adicionar campo CMP	
Add CMP Field Dialog	Adicionar caixa de diálogo CMP	
Add CMP Relationship	Adicionar relacionamento CMP	
Add column	Adicionar coluna	
Add column dialog	Caixa de diálogo de adição de coluna	
Add Configuration	Adicionar configuração	
Add configuration to project	Adicionar configuração ao projeto	
Add Connection	Adicionar conexão	
Add Connection Button	Botão Adicionar conexão	
Add Connection Pool Properties	Adicionar propriedades do pool de conexão	
Add Cookie	Adicionar cookie	
Add Create Method...	Adicionar método Create...	
Add Directory...	Adicionar diretório...	
Add Driver	Adicionar driver	
Add Driver dialog description	Adicionar descrição da caixa de diálogo do driver	
Add driver file	Adicionar arquivo de driver	
Add EJB Reference	Adicionar referência EJB	
Add Exception	Adicionar exceção	
Add Exception Definition	Adicionar definição de exceção	
Add Existing Sources	Adicionar códigos-fonte existentes	
Add Existing Sources Panel	Painel de adição de códigos-fonte existentes	
Add File/Folder	Adicionar arquivo/pasta	
Add Filter Button	Botão Adicionar filtro	
Add Filter Dialog	Adicionar filtro de diálogo	
Add Filter Element...	Adicionar elemento de filtro	
Add Filter...	Adicionar filtro...	
Add Finder Method...	Adicionar método Finder...	
Add Folder	Adicionar pasta	
Add Form Bean Definition	Adicionar definição de formulário Bean	
Add Form Property Definition	Adcionar definição de propriedades do formulário	
Add Forward	Adicionar encaminhamento	
Add Forward Definition	Adicionar definição de encaminhamento	
Add Forward/Include Action	Adicionar ação Encaminhamento/Incluir	
Add framework button	Botão Adicionar framework	
Add from JAR...	Adicionar do JAR...	
Add from Palette...	Adicionar da Paleta...	
Add from Project...	Adicionar de projeto...	
Add global keyboard shortcut	Adicionar atalho de teclado global	
Add Group	Adicionar grupo	
Add Handler	Adicionar manipulador	
Add Header	Adicionar cabeçalho	
Add Home Method...	Adicionar método Home...	
Add Index	Adicionar índice	
Add Index Dialog	Caixa de diálogo de adição de índice	
Add Interfaces	Adicionar interfaces	
Add into Category	Adicionar a categoria	
Add J2EE Module...	Adicionar módulo J2EE...	
Add JAR Button	Botão Adicionar JAR	
Add JAR File	Adicionar arquivo JAR	
Add JAR Folder	Adicionar pasta JAR	
Add JAR Folder button	Botão Adicionar pasta JAR	
Add JAR ZIP...	Adicionar JAR ZIP...	
Add JAR...	Adicionar JAR...	
Add Java Platform	Adicionar plataforma Java	
Add Javadoc	Adicionar Javadoc	
